"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"simple-first-experiment"
"10/19/2022 13:04:41:128 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","yellow-food-percentage","n-shelter","n-basic-agent","green-food-percentage","n-expert-agent","trap-percentage","[step]","count basic-agent","count expert-agent"
"4","0","0","5","0","5","0.4","43","2","3"
"2","0","0","5","0","5","0.4","42","3","5"
"3","0","0","5","0","5","0.4","40","1","5"
"4","0","0","5","0","5","0.4","44","2","3"
"3","0","0","5","0","5","0.4","41","1","5"
"4","0","0","5","0","5","0.4","45","2","3"
"2","0","0","5","0","5","0.4","43","3","4"
"3","0","0","5","0","5","0.4","42","1","5"
"4","0","0","5","0","5","0.4","46","2","3"
"2","0","0","5","0","5","0.4","44","3","4"
"4","0","0","5","0","5","0.4","47","2","3"
"3","0","0","5","0","5","0.4","43","1","5"
"2","0","0","5","0","5","0.4","45","3","4"
"3","0","0","5","0","5","0.4","44","1","5"
"4","0","0","5","0","5","0.4","48","2","3"
"3","0","0","5","0","5","0.4","45","1","5"
"2","0","0","5","0","5","0.4","46","3","4"
"4","0","0","5","0","5","0.4","49","2","3"
"3","0","0","5","0","5","0.4","46","1","5"
"2","0","0","5","0","5","0.4","47","3","4"
"3","0","0","5","0","5","0.4","47","1","5"
"4","0","0","5","0","5","0.4","50","2","3"
"3","0","0","5","0","5","0.4","48","1","5"
"2","0","0","5","0","5","0.4","48","2","4"
"4","0","0","5","0","5","0.4","51","1","3"
"2","0","0","5","0","5","0.4","49","2","4"
"3","0","0","5","0","5","0.4","49","1","5"
"4","0","0","5","0","5","0.4","52","1","3"
"2","0","0","5","0","5","0.4","50","2","4"
"3","0","0","5","0","5","0.4","50","1","5"
"4","0","0","5","0","5","0.4","53","1","3"
"2","0","0","5","0","5","0.4","51","2","4"
"3","0","0","5","0","5","0.4","51","1","5"
"4","0","0","5","0","5","0.4","54","1","3"
"2","0","0","5","0","5","0.4","52","2","4"
"4","0","0","5","0","5","0.4","55","1","3"
"2","0","0","5","0","5","0.4","53","2","4"
"3","0","0","5","0","5","0.4","52","1","4"
"4","0","0","5","0","5","0.4","56","1","3"
"2","0","0","5","0","5","0.4","54","1","4"
"4","0","0","5","0","5","0.4","57","1","3"
"2","0","0","5","0","5","0.4","55","1","4"
"3","0","0","5","0","5","0.4","53","1","4"
"4","0","0","5","0","5","0.4","58","1","3"
"2","0","0","5","0","5","0.4","56","1","4"
"3","0","0","5","0","5","0.4","54","1","4"
"4","0","0","5","0","5","0.4","59","1","3"
"3","0","0","5","0","5","0.4","55","1","4"
"2","0","0","5","0","5","0.4","57","1","4"
"4","0","0","5","0","5","0.4","60","1","3"
"2","0","0","5","0","5","0.4","58","1","4"
"4","0","0","5","0","5","0.4","61","1","3"
"2","0","0","5","0","5","0.4","59","1","4"
"3","0","0","5","0","5","0.4","56","1","4"
"4","0","0","5","0","5","0.4","62","1","3"
"2","0","0","5","0","5","0.4","60","1","4"
"3","0","0","5","0","5","0.4","57","1","4"
"4","0","0","5","0","5","0.4","63","1","3"
"3","0","0","5","0","5","0.4","58","1","4"
"4","0","0","5","0","5","0.4","64","1","3"
"2","0","0","5","0","5","0.4","61","1","4"
"4","0","0","5","0","5","0.4","65","1","3"
"3","0","0","5","0","5","0.4","59","1","4"
"2","0","0","5","0","5","0.4","62","1","4"
"4","0","0","5","0","5","0.4","66","1","3"
"2","0","0","5","0","5","0.4","63","1","4"
"3","0","0","5","0","5","0.4","60","1","4"
"4","0","0","5","0","5","0.4","67","1","2"
"2","0","0","5","0","5","0.4","64","1","4"
"3","0","0","5","0","5","0.4","61","1","4"
"2","0","0","5","0","5","0.4","65","1","4"
"4","0","0","5","0","5","0.4","68","1","2"
"2","0","0","5","0","5","0.4","66","1","4"
"3","0","0","5","0","5","0.4","62","1","4"
"4","0","0","5","0","5","0.4","69","1","2"
"2","0","0","5","0","5","0.4","67","1","4"
"3","0","0","5","0","5","0.4","63","1","3"
"2","0","0","5","0","5","0.4","68","1","4"
"3","0","0","5","0","5","0.4","64","1","3"
"4","0","0","5","0","5","0.4","70","1","2"
"2","0","0","5","0","5","0.4","69","1","4"
"3","0","0","5","0","5","0.4","65","1","3"
"4","0","0","5","0","5","0.4","71","1","2"
"4","0","0","5","0","5","0.4","72","0","2"
"3","0","0","5","0","5","0.4","66","1","3"
"2","0","0","5","0","5","0.4","70","1","4"
"3","0","0","5","0","5","0.4","67","1","3"
"4","0","0","5","0","5","0.4","73","0","2"
"2","0","0","5","0","5","0.4","71","1","4"
"3","0","0","5","0","5","0.4","68","1","3"
"4","0","0","5","0","5","0.4","74","0","2"
"3","0","0","5","0","5","0.4","69","1","3"
"2","0","0","5","0","5","0.4","72","1","4"
"4","0","0","5","0","5","0.4","75","0","2"
"2","0","0","5","0","5","0.4","73","1","4"
"3","0","0","5","0","5","0.4","70","1","3"
"4","0","0","5","0","5","0.4","76","0","2"
"2","0","0","5","0","5","0.4","74","1","4"
"3","0","0","5","0","5","0.4","71","1","3"
"2","0","0","5","0","5","0.4","75","1","4"
"4","0","0","5","0","5","0.4","77","0","2"
"3","0","0","5","0","5","0.4","72","1","3"
"2","0","0","5","0","5","0.4","76","1","4"
"4","0","0","5","0","5","0.4","78","0","2"
"3","0","0","5","0","5","0.4","73","1","3"
"2","0","0","5","0","5","0.4","77","1","4"
"4","0","0","5","0","5","0.4","79","0","2"
"2","0","0","5","0","5","0.4","78","1","4"
"3","0","0","5","0","5","0.4","74","0","3"
"4","0","0","5","0","5","0.4","80","0","2"
"2","0","0","5","0","5","0.4","79","1","4"
"3","0","0","5","0","5","0.4","75","0","3"
"4","0","0","5","0","5","0.4","81","0","2"
"2","0","0","5","0","5","0.4","80","1","4"
