"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"8","9","7","10","9","10","8","5","7","10","8","9","10","7","8","8","9","9","8","8","8","8","8","10","8","10","9","7","6","9","7","8","7","9","7","10","8","10","10","8"
,"7","9","6","10","9","10","8","5","7","10","7","9","9","7","8","8","9","9","8","7","7","8","8","10","6","10","9","7","6","9","6","8","7","9","7","10","7","10","10","7"
,"7","9","6","9","8","9","8","5","7","10","7","8","9","7","8","8","9","9","7","7","6","7","6","10","6","10","9","7","4","9","5","8","7","9","7","10","7","10","10","7"
,"7","9","6","8","8","9","8","5","7","10","7","8","9","7","8","8","9","9","7","7","6","7","6","9","5","10","9","7","4","9","5","8","7","8","7","10","7","10","9","7"
,"7","8","6","8","6","9","8","5","7","10","7","8","9","7","8","8","9","9","7","7","6","7","6","9","5","9","9","7","4","9","5","8","6","8","7","10","7","10","9","7"
,"7","8","6","8","5","9","7","5","6","10","7","8","9","7","8","8","9","9","7","7","6","7","6","9","4","9","8","6","4","8","4","8","6","8","7","10","7","9","9","7"
,"7","8","5","8","5","9","7","5","5","10","7","8","8","7","8","8","8","9","7","7","4","7","6","9","4","9","7","6","4","8","4","8","6","8","6","10","7","9","9","7"
,"7","8","4","8","5","9","7","5","5","10","7","8","8","7","8","8","8","9","6","7","4","7","6","9","4","8","5","6","4","8","4","8","6","8","6","10","6","9","9","7"
,"7","7","4","8","5","9","6","5","4","10","7","8","8","7","8","8","8","9","6","7","4","7","5","8","4","8","5","6","4","8","3","8","6","8","5","10","6","9","8","7"
,"6","7","4","8","5","9","6","5","4","10","6","8","8","7","8","8","8","9","6","7","4","7","5","8","4","8","5","6","4","8","3","8","6","8","5","10","6","9","8","7"
,"6","7","4","8","5","9","5","5","4","9","5","8","8","7","8","8","8","9","6","7","3","7","5","8","4","8","5","6","4","8","3","8","6","8","5","9","6","9","8","7"
,"6","7","4","8","4","9","5","5","4","9","5","8","8","7","8","8","8","8","5","7","3","7","5","8","4","8","4","6","4","8","3","8","6","8","4","9","6","9","8","7"
,"6","7","4","8","3","9","5","5","4","9","5","8","8","7","8","8","7","8","4","7","3","7","5","8","4","8","4","6","4","8","3","8","6","8","4","9","5","9","8","6"
,"6","7","4","8","3","9","5","5","4","9","5","7","8","7","7","8","6","8","4","7","3","7","5","8","3","8","4","6","4","8","3","8","6","8","4","9","5","9","7","6"
,"6","7","4","8","3","9","5","4","4","9","5","7","8","7","7","8","6","8","4","7","3","7","5","8","3","8","3","6","4","8","3","8","6","7","4","9","5","9","7","6"
,"5","6","4","8","2","9","5","4","4","9","5","7","8","7","7","8","6","8","4","7","3","6","5","7","3","8","3","6","4","8","3","8","5","7","4","9","5","9","7","6"
,"3","6","4","8","2","9","5","4","4","9","5","7","8","7","7","8","6","8","4","6","3","5","5","7","3","8","3","6","4","8","3","8","4","7","4","9","5","9","7","6"
,"3","6","4","8","2","9","5","4","4","9","4","7","8","7","7","8","6","8","4","6","3","5","5","7","3","8","3","6","4","8","3","8","4","7","4","9","5","9","7","6"
,"3","6","4","8","2","9","5","4","4","9","4","7","8","7","7","8","6","8","4","6","3","5","5","7","2","8","2","6","4","8","3","8","4","7","4","9","5","9","7","6"
,"3","6","4","8","1","9","4","4","4","9","4","7","8","7","7","7","6","8","4","6","3","5","5","7","2","8","2","6","4","8","3","8","4","6","4","9","5","9","7","6"
,"3","6","4","8","1","8","4","4","4","9","4","7","7","7","7","7","6","8","4","6","3","5","5","7","2","8","2","6","4","8","3","8","4","6","4","9","4","9","7","6"
,"3","6","4","8","1","8","4","4","4","9","4","7","7","7","6","7","6","8","4","6","3","5","5","7","2","8","2","6","4","8","3","8","4","6","4","9","3","9","7","6"
,"3","6","4","8","1","8","4","4","3","9","4","7","7","6","6","7","6","8","4","6","3","5","5","7","2","8","2","6","4","8","3","8","3","6","4","9","3","9","7","6"
,"3","6","4","8","1","8","4","4","3","9","4","7","7","6","6","7","5","8","4","6","3","5","4","7","2","8","2","6","4","8","2","8","3","6","4","9","3","9","7","6"
,"3","6","4","8","1","8","4","4","3","9","4","7","7","6","6","7","5","8","4","6","3","5","4","7","2","8","2","6","4","8","2","8","3","6","3","9","3","9","7","6"
,"3","6","4","8","1","8","4","4","3","9","4","7","7","6","6","7","5","8","4","6","3","5","4","7","2","8","2","6","4","8","2","8","3","5","3","9","2","9","7","6"
,"3","6","4","8","1","8","4","4","3","9","4","7","7","6","6","7","5","8","4","6","3","5","4","7","2","8","2","6","4","8","2","8","3","5","3","9","2","9","7","6"
,"3","6","4","8","0","8","4","4","3","9","4","7","7","6","6","7","5","8","4","6","3","5","4","7","2","8","2","6","4","8","2","8","3","5","3","9","2","9","7","6"
