"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"3","7","8","5","6","6","7","9","4","6","5","8","4","8","8","7","6","2","7","7","8","7","6","8","5","5","5","9","6","7","4","8","6","7","6","10","2","8","6","6"
,"3","7","8","5","6","6","7","8","4","6","5","8","4","8","8","7","6","2","6","7","8","7","6","8","5","5","5","9","6","7","4","8","6","7","6","10","2","8","6","5"
,"3","7","8","5","6","6","6","8","4","6","5","8","4","8","8","7","6","2","6","7","8","7","6","8","5","5","5","9","6","7","4","8","6","7","6","10","1","8","6","5"
,"3","7","8","5","6","6","6","8","4","6","5","8","4","8","8","6","5","2","6","7","7","7","6","8","5","5","4","9","6","7","4","7","6","7","6","10","1","8","6","5"
,"3","7","8","5","6","6","6","8","4","6","5","7","4","8","8","6","5","2","6","7","7","7","6","8","5","5","4","8","5","7","4","7","6","7","6","10","1","8","6","5"
,"3","7","8","5","6","6","6","8","4","6","5","7","4","8","8","6","5","2","6","7","7","7","6","8","5","5","4","8","5","7","4","7","6","7","6","10","1","8","6","5"
,"3","6","8","5","6","6","6","8","4","6","5","7","4","7","8","6","5","2","6","7","7","7","6","8","5","5","4","8","5","7","4","7","6","7","6","10","1","8","5","5"
,"3","6","8","5","6","6","6","8","4","6","5","7","4","7","8","6","4","2","6","7","7","7","6","7","5","5","4","8","5","7","4","7","6","7","6","10","1","8","5","5"
,"3","6","8","5","5","6","6","8","4","6","5","7","4","6","8","6","4","2","6","7","7","7","6","7","5","5","4","8","5","7","3","7","6","7","6","10","1","8","5","5"
,"3","6","7","5","5","6","6","7","4","6","5","6","4","6","8","6","4","2","6","7","7","7","6","7","5","5","4","8","5","7","3","7","6","7","6","10","1","8","5","5"
,"3","5","7","5","5","6","6","7","4","6","5","6","4","6","8","6","4","2","6","7","6","6","5","7","4","5","4","8","5","7","3","7","6","7","6","10","1","8","5","5"
,"3","5","7","5","5","6","6","7","4","6","5","6","4","6","8","6","4","2","5","6","6","6","5","7","4","5","4","8","5","7","3","7","6","7","6","10","1","8","5","5"
,"3","5","7","5","5","6","6","6","4","6","5","6","3","6","8","6","4","2","5","6","6","6","5","7","4","5","4","8","5","7","3","7","5","7","6","10","1","8","5","5"
,"3","5","7","5","5","6","6","6","4","6","5","6","3","6","8","6","4","2","5","6","5","6","5","7","4","5","4","8","5","7","3","7","5","6","6","10","1","8","5","4"
,"3","5","7","5","5","6","6","6","4","6","5","6","3","6","8","6","4","2","5","6","5","6","5","7","4","5","4","8","5","7","3","7","4","6","6","10","1","8","5","4"
,"3","5","7","5","5","6","6","6","4","6","5","6","3","6","7","6","4","2","5","6","5","6","5","7","4","5","4","8","5","7","3","7","4","6","6","10","0","8","5","4"
,"3","5","6","5","3","6","6","6","4","6","5","6","3","6","6","6","4","2","5","6","5","6","5","7","4","5","4","8","5","7","3","7","4","6","6","10","0","8","5","4"
,"3","5","6","5","3","6","5","6","4","6","5","6","3","6","6","6","4","2","5","6","5","6","5","7","4","5","4","8","5","7","3","7","4","6","6","9","0","7","5","4"
,"3","5","6","5","3","6","5","6","3","6","5","6","3","6","6","6","4","2","5","6","5","6","5","7","4","5","4","8","4","7","3","7","4","6","6","9","0","7","5","4"
,"3","5","6","5","3","6","4","6","3","6","5","6","3","6","6","6","4","2","5","6","5","6","5","7","4","5","4","8","4","7","3","7","4","6","6","9","0","7","4","4"
,"3","5","5","5","3","6","4","6","3","6","4","6","3","6","6","6","3","2","5","6","5","6","5","7","4","5","4","8","4","7","3","7","4","6","6","8","0","7","4","4"
,"3","5","5","5","3","6","4","6","3","6","4","6","3","6","5","6","3","2","5","6","5","6","5","7","4","5","4","8","4","7","3","7","4","6","6","8","0","7","4","4"
,"3","5","5","5","3","6","4","6","3","6","4","5","3","6","5","6","3","2","5","6","5","6","5","7","4","5","4","8","3","7","3","7","3","6","6","8","0","7","4","4"
,"3","5","5","5","3","6","4","6","3","5","4","5","3","6","5","6","3","1","5","6","5","6","5","7","4","5","2","8","3","7","2","7","3","6","6","8","0","7","4","4"
,"3","5","5","5","3","6","4","6","3","5","4","5","3","6","4","6","3","1","4","6","5","6","5","7","4","5","2","8","3","7","2","7","3","6","6","8","0","7","4","4"
,"3","5","5","5","3","6","4","6","3","5","3","5","3","6","4","6","3","1","4","6","5","6","5","7","4","5","2","8","3","7","2","7","3","6","6","8","0","7","4","4"
,"3","5","4","5","2","6","4","6","3","5","3","5","3","6","4","6","3","1","4","6","4","6","5","6","4","5","2","8","3","7","2","7","3","6","6","8","0","7","4","4"
,"3","5","4","5","2","6","4","6","3","5","3","5","3","6","4","6","3","1","4","6","4","6","5","6","4","5","2","8","3","7","1","7","3","6","6","8","0","7","4","4"
,"3","5","4","5","2","6","4","6","3","5","3","5","3","6","4","6","3","1","4","6","4","6","5","6","4","5","2","8","3","7","1","7","3","6","6","8","0","7","4","4"
,"3","5","4","5","2","6","4","6","3","5","3","5","3","6","4","6","3","1","4","6","4","6","5","6","4","5","2","8","3","7","1","7","3","6","5","7","0","6","4","4"
,"3","5","3","4","2","6","4","6","3","5","3","5","3","6","4","6","3","1","4","6","4","6","4","6","4","5","2","8","3","7","1","7","3","5","5","7","0","6","4","4"
,"3","5","3","4","2","6","4","6","3","5","3","5","2","6","4","6","3","1","3","6","4","6","3","6","4","5","2","8","3","7","1","7","3","5","5","7","0","6","4","4"
,"3","4","3","4","2","6","4","6","3","5","3","5","2","6","4","6","3","1","3","6","4","6","3","6","4","5","2","8","3","7","1","7","3","5","5","7","0","6","4","4"
,"3","4","3","4","1","6","4","6","3","4","3","5","2","6","4","6","3","1","3","6","4","6","3","5","4","5","2","8","3","7","1","7","3","5","5","7","0","6","4","4"
,"3","4","3","4","1","6","4","6","3","4","3","5","2","6","4","6","3","1","3","6","4","6","3","5","4","5","2","8","3","7","1","7","3","5","5","7","0","6","3","4"
,"3","4","3","4","1","6","3","6","3","4","3","4","2","6","4","5","3","1","3","6","4","6","3","5","4","5","2","8","3","7","1","7","3","5","4","7","0","6","3","4"
,"3","4","3","4","1","6","3","6","3","4","3","4","2","6","4","5","3","1","2","6","4","6","3","5","4","5","2","8","3","7","1","7","3","5","4","7","0","6","3","4"
,"3","4","3","4","1","6","3","6","3","4","3","4","2","6","4","5","3","1","2","6","4","6","3","5","4","5","2","8","3","7","1","7","3","5","4","7","0","6","3","4"
,"3","4","3","4","1","6","3","6","3","4","3","4","2","6","4","4","3","1","2","6","4","6","3","5","4","5","2","8","3","7","1","7","3","5","3","7","0","6","3","4"
,"3","4","3","4","1","6","3","6","3","4","3","4","2","6","4","4","3","1","2","6","4","6","3","5","4","5","2","8","3","7","1","7","2","5","3","7","0","6","3","4"
,"3","4","3","4","1","6","3","6","3","4","3","4","2","6","4","4","3","0","2","6","4","6","3","5","4","5","2","8","3","7","1","7","2","5","3","7","0","6","3","4"
,"3","4","3","4","1","6","3","6","3","3","3","4","2","6","4","4","3","0","2","6","4","6","3","5","4","5","2","8","3","7","1","7","2","5","3","7","0","6","3","4"
,"3","4","3","4","1","6","3","6","3","3","3","4","2","6","4","4","3","0","2","6","4","6","3","5","4","5","2","8","3","7","1","7","2","5","3","7","0","6","3","4"
,"3","4","3","4","1","6","3","6","3","3","3","4","1","6","4","4","3","0","2","6","4","6","3","5","4","5","2","8","3","7","1","7","2","5","3","7","0","6","3","4"
